municipio_ano,pib
21036042011,"4057,12"
21037032011,"3802,82"
21037522011,"4790,72"
21038022011,"6629,84"
21039012011,"3535,03"
21040082011,"4328,25"
21040572011,"13396,6"
21040732011,"4984,55"
21040812011,"3619,56"
21040992011,"4694,18"
21041072011,"7312,64"
21042062011,"4460,58"
21043052011,"13205,87"
21044042011,"3742,19"
21045032011,"3656,3"
21045522011,"9694,86"
21046022011,"3699,68"
21046282011,"3855,93"
21046512011,"3884,72"
21046772011,"4917,3"
21047012011,"3699,15"
21048002011,"6023,51"
21049092011,"3638,09"
21050052011,"3145,7"
21051042011,"3104,12"
21051532011,"8633,25"
21052032011,"4198,95"
21053022011,13111
21053512011,"4094,67"
21054012011,"5201,99"
21054272011,"5959,31"
21054502011,"3999,46"
21054762011,"3556,31"
21055002011,"5085,53"
21056092011,"4291,2"
21056582011,"6062,31"
21057082011,"4227,06"
21058072011,"3722,95"
21059062011,"4160,72"
21059222011,"3718,51"
21059482011,"5431,52"
21059632011,"3884,31"
21059892011,"4924,18"
21060032011,"4201,77"
21061022011,"6207,64"
21062012011,"3351,53"
21063002011,"3621,3"
21063262011,"4258,6"
21063592011,"5255,1"
21063752011,"3467,68"
21064092011,"4966,86"
21065082011,"3728,55"
21066072011,"3203,78"
21066312011,"3273,99"
21066722011,"4778,73"
21067062011,"4461,13"
21067552011,"8922,57"
21068052011,"3412,69"
21069042011,"3488,78"
21070012011,"3913,07"
21071002011,"3586,19"
21072092011,"2896,15"
21072582011,"6089,34"
21073082011,"3856,97"
21073572011,"4224,93"
21074072011,4218
21074562011,"3555,29"
21075062011,"4064,6"
21076052011,"3745,41"
21077042011,"3898,27"
21078032011,"3607,18"
21079022011,"3965,65"
21080092011,"4445,22"
21080582011,"3392,42"
21081082011,"4528,89"
21082072011,"7342,04"
21082562011,"3283,73"
21083062011,"3254,3"
21084052011,"3095,28"
21084542011,"4308,91"
21085042011,"4276,45"
21086032011,"5485,28"
21087022011,"4190,69"
21088012011,"3708,25"
21089002011,"5091,97"
21090072011,"11418,24"
21090562011,"4008,06"
21091062011,"6393,01"
21092052011,"4432,9"
21092392011,"4560,11"
21092702011,"4799,79"
21093042011,"3370,84"
21094032011,"3178,3"
21094522011,"4133,21"
21095022011,"8021,89"
21095512011,"6012,19"
21096012011,"4883,84"
21097002011,"17952,43"
21097592011,"4063,95"
21098092011,"3621,57"
21099082011,"8883,05"
21100052011,"5639,34"
21100392011,"6357,65"
21101042011,"3768,42"
21102032011,"3981,06"
21102372011,"3032,95"
21102782011,"2574,51"
